时间,气温,相对湿度,体感温度,降水量,风速,气压,PM2.5,PM10,日期,小时,星期,体感温差,温湿度指数,昼夜,是否降雨,空气质量等级
2026-06-20 00:00:00,27.5,87,32.3,0.0,12.6,1008.3,12.4,15.6,2026-06-20,0,Saturday,4.799999999999997,26.5705,夜晚,否,优
2026-06-20 01:00:00,27.3,87,32.2,0.0,12.6,1008.0,11.2,14.5,2026-06-20,1,Saturday,4.900000000000002,26.384800000000002,夜晚,否,优
2026-06-20 02:00:00,27.1,88,32.1,0.0,11.1,1007.7,10.2,13.4,2026-06-20,2,Saturday,5.0,26.2684,夜晚,否,优
2026-06-20 03:00:00,27.0,86,32.0,0.0,9.4,1007.5,9.4,12.6,2026-06-20,3,Saturday,5.0,26.0375,夜晚,否,优
2026-06-20 04:00:00,26.8,87,31.8,0.0,9.2,1007.5,9.1,12.3,2026-06-20,4,Saturday,5.0,25.920550000000002,夜晚,否,优
2026-06-20 05:00:00,26.7,86,31.3,0.1,10.5,1007.7,9.0,12.2,2026-06-20,5,Saturday,4.600000000000001,25.7606,夜晚,是,优
2026-06-20 06:00:00,26.8,86,31.5,0.0,10.6,1007.8,9.8,13.0,2026-06-20,6,Saturday,4.699999999999999,25.8529,白天,否,优
2026-06-20 07:00:00,27.7,83,32.5,0.1,10.6,1007.9,13.2,16.1,2026-06-20,7,Saturday,4.800000000000001,26.465799999999998,白天,是,优
2026-06-20 08:00:00,27.3,89,33.4,0.2,5.6,1008.4,14.3,17.7,2026-06-20,8,Saturday,6.099999999999998,26.5256,白天,是,优
2026-06-20 09:00:00,29.1,82,34.8,0.2,9.8,1008.6,13.4,17.2,2026-06-20,9,Saturday,5.699999999999996,27.654600000000002,白天,是,优
2026-06-20 10:00:00,30.1,75,35.2,0.2,14.7,1008.9,13.5,18.0,2026-06-20,10,Saturday,5.100000000000001,27.955000000000002,白天,是,优
2026-06-20 11:00:00,31.0,69,36.2,0.2,16.1,1008.9,13.7,18.6,2026-06-20,11,Saturday,5.200000000000003,28.18675,白天,是,优
2026-06-20 12:00:00,31.2,68,36.5,0.2,17.5,1008.8,14.2,19.4,2026-06-20,12,Saturday,5.300000000000001,28.2608,白天,是,优
2026-06-20 13:00:00,31.4,66,36.3,0.1,18.5,1008.4,14.4,19.7,2026-06-20,13,Saturday,4.899999999999999,28.2397,白天,是,优
2026-06-20 14:00:00,31.6,65,36.9,0.2,15.5,1008.2,14.6,19.8,2026-06-20,14,Saturday,5.299999999999997,28.30825,白天,是,优
2026-06-20 15:00:00,31.3,65,36.2,0.1,16.2,1007.6,13.9,18.9,2026-06-20,15,Saturday,4.900000000000002,28.066,白天,是,优
2026-06-20 16:00:00,30.8,69,35.5,0.1,14.1,1007.4,13.2,18.0,2026-06-20,16,Saturday,4.699999999999999,28.02085,白天,是,优
2026-06-20 17:00:00,30.0,76,35.0,0.0,13.0,1007.1,13.2,17.9,2026-06-20,17,Saturday,5.0,27.954,白天,否,优
2026-06-20 18:00:00,29.3,81,34.9,0.0,10.8,1007.5,13.9,18.5,2026-06-20,18,Saturday,5.599999999999998,27.7534,夜晚,否,优
2026-06-20 19:00:00,28.2,87,34.3,0.0,8.5,1007.8,15.1,19.1,2026-06-20,19,Saturday,6.099999999999998,27.22045,夜晚,否,优
2026-06-20 20:00:00,28.0,88,34.2,0.0,7.2,1008.5,22.3,26.5,2026-06-20,20,Saturday,6.200000000000003,27.109,夜晚,否,优
2026-06-20 21:00:00,27.5,91,33.6,0.1,8.4,1009.1,25.0,28.4,2026-06-20,21,Saturday,6.100000000000001,26.8565,夜晚,是,优
2026-06-20 22:00:00,27.0,94,32.9,0.1,9.7,1009.6,25.4,28.4,2026-06-20,22,Saturday,5.899999999999999,26.5875,夜晚,是,优
2026-06-20 23:00:00,26.7,95,32.6,0.0,8.6,1009.8,23.6,26.3,2026-06-20,23,Saturday,5.900000000000002,26.3645,夜晚,否,优
2026-06-21 00:00:00,26.6,94,32.5,0.0,8.5,1009.6,19.3,21.8,2026-06-21,0,Sunday,5.899999999999999,26.2007,夜晚,否,优
