日期,气温_min,气温_max,气温_mean,气温_std,相对湿度_min,相对湿度_max,相对湿度_mean,体感温度_min,体感温度_max,体感温度_mean,降水量_sum,风速_mean,PM2.5_mean
2026-06-20,26.7,31.6,28.64,1.8,65,95,81.25,31.3,36.9,33.93,1.9,11.7,14.5
2026-06-21,26.1,32.0,28.74,2.07,62,94,81.0,31.9,38.3,34.52,0.2,9.0,14.78
2026-06-22,26.4,31.8,28.86,1.86,65,93,81.08,32.2,38.7,34.63,0.0,9.91,16.19
2026-06-23,26.9,32.0,29.18,1.6,67,95,82.12,33.1,38.3,35.12,2.1,10.53,17.78
2026-06-24,27.2,32.1,29.67,1.75,67,96,81.67,34.0,39.4,36.2,2.2,8.42,24.66
2026-06-25,25.1,31.1,28.35,1.88,75,100,88.58,31.4,37.8,35.0,4.1,6.59,28.25
2026-06-26,25.3,31.9,27.35,1.77,70,99,90.79,31.3,39.2,33.8,3.7,5.41,34.57
2026-06-27,25.4,30.5,27.59,1.7,72,99,87.96,31.1,37.2,33.8,3.6,5.49,30.48
2026-06-28,24.9,30.0,26.92,1.66,74,100,90.62,30.2,35.9,32.72,6.0,7.38,23.63
2026-06-29,24.2,31.8,27.14,2.32,66,99,88.38,29.1,39.1,33.1,4.3,6.19,20.76
2026-06-30,25.2,32.0,27.8,2.33,59,95,83.12,30.6,38.3,33.23,2.9,7.74,19.97
2026-07-01,25.8,32.6,28.74,2.25,62,94,81.0,31.3,39.4,34.49,1.5,8.31,15.49
2026-07-02,25.8,32.2,28.44,2.19,64,92,82.25,29.8,38.0,33.37,3.9,14.07,12.23
2026-07-03,25.0,31.0,26.91,1.68,66,97,87.54,29.1,35.8,31.46,6.5,14.02,11.4
