时间,气温,相对湿度,体感温度,降水量,风速,气压,PM2.5,PM10
2026-06-20 00:00:00,27.5,87,32.3,0.0,12.6,1008.3,12.4,15.6
2026-06-20 01:00:00,27.3,87,32.2,0.0,12.6,1008.0,11.2,14.5
2026-06-20 02:00:00,27.1,88,32.1,0.0,11.1,1007.7,10.2,13.4
2026-06-20 03:00:00,27.0,86,32.0,0.0,9.4,1007.5,9.4,12.6
2026-06-20 04:00:00,26.8,87,31.8,0.0,9.2,1007.5,9.1,12.3
2026-06-20 05:00:00,26.7,86,31.3,0.1,10.5,1007.7,9.0,12.2
2026-06-20 06:00:00,26.8,86,31.5,0.0,10.6,1007.8,9.8,13.0
2026-06-20 07:00:00,27.7,83,32.5,0.1,10.6,1007.9,13.2,16.1
2026-06-20 08:00:00,27.3,89,33.4,0.2,5.6,1008.4,14.3,17.7
2026-06-20 09:00:00,29.1,82,34.8,0.2,9.8,1008.6,13.4,17.2
2026-06-20 10:00:00,30.1,75,35.2,0.2,14.7,1008.9,13.5,18.0
2026-06-20 11:00:00,31.0,69,36.2,0.2,16.1,1008.9,13.7,18.6
2026-06-20 12:00:00,31.2,68,36.5,0.2,17.5,1008.8,14.2,19.4
2026-06-20 13:00:00,31.4,66,36.3,0.1,18.5,1008.4,14.4,19.7
2026-06-20 14:00:00,31.6,65,36.9,0.2,15.5,1008.2,14.6,19.8
2026-06-20 15:00:00,31.3,65,36.2,0.1,16.2,1007.6,13.9,18.9
2026-06-20 16:00:00,30.8,69,35.5,0.1,14.1,1007.4,13.2,18.0
2026-06-20 17:00:00,30.0,76,35.0,0.0,13.0,1007.1,13.2,17.9
2026-06-20 18:00:00,29.3,81,34.9,0.0,10.8,1007.5,13.9,18.5
2026-06-20 19:00:00,28.2,87,34.3,0.0,8.5,1007.8,15.1,19.1
2026-06-20 20:00:00,28.0,88,34.2,0.0,7.2,1008.5,22.3,26.5
2026-06-20 21:00:00,27.5,91,33.6,0.1,8.4,1009.1,25.0,28.4
2026-06-20 22:00:00,27.0,94,32.9,0.1,9.7,1009.6,25.4,28.4
2026-06-20 23:00:00,26.7,95,32.6,0.0,8.6,1009.8,23.6,26.3
2026-06-21 00:00:00,26.6,94,32.5,0.0,8.5,1009.6,19.3,21.8
2026-06-21 01:00:00,26.8,92,32.5,0.0,8.6,1009.5,15.0,17.4
2026-06-21 02:00:00,26.8,93,32.5,0.0,9.3,1009.0,12.1,14.6
2026-06-21 03:00:00,26.5,93,32.1,0.0,8.6,1008.8,10.7,13.4
2026-06-21 04:00:00,26.3,94,32.1,0.0,6.9,1008.7,10.5,13.4
2026-06-21 05:00:00,26.1,94,31.9,0.0,6.4,1008.7,11.0,13.9
2026-06-21 06:00:00,26.1,94,32.0,0.0,5.8,1009.1,12.5,15.5
2026-06-21 07:00:00,27.4,87,33.0,0.0,8.4,1009.4,13.2,17.3
2026-06-21 08:00:00,28.8,79,34.3,0.0,7.6,1009.8,11.8,14.6
2026-06-21 09:00:00,29.6,75,34.8,0.1,8.8,1009.8,12.0,15.3
2026-06-21 10:00:00,30.5,70,36.0,0.1,10.7,1009.8,11.9,15.3
2026-06-21 11:00:00,31.2,67,37.3,0.0,10.5,1009.4,12.6,16.5
2026-06-21 12:00:00,32.0,62,38.2,0.0,12.3,1009.1,13.4,17.9
2026-06-21 13:00:00,31.8,64,38.1,0.0,13.3,1008.5,14.0,18.7
2026-06-21 14:00:00,31.6,64,38.3,0.0,9.7,1008.1,13.7,18.5
2026-06-21 15:00:00,31.4,67,37.6,0.0,10.2,1007.3,13.6,18.5
2026-06-21 16:00:00,31.1,68,36.2,0.0,11.6,1006.5,13.0,17.6
2026-06-21 17:00:00,30.4,70,35.0,0.0,12.0,1006.0,13.2,17.7
2026-06-21 18:00:00,29.6,75,34.5,0.0,10.7,1006.1,13.5,17.8
2026-06-21 19:00:00,28.5,83,34.0,0.0,9.2,1006.3,15.8,20.0
2026-06-21 20:00:00,28.5,86,34.7,0.0,7.2,1007.0,21.5,25.5
2026-06-21 21:00:00,27.8,89,34.0,0.0,6.9,1007.7,22.7,25.7
2026-06-21 22:00:00,27.3,91,33.6,0.0,6.5,1008.0,23.8,26.5
2026-06-21 23:00:00,27.1,93,33.4,0.0,6.2,1008.2,23.8,26.4
2026-06-22 00:00:00,26.8,93,32.8,0.0,7.6,1007.7,21.2,23.7
2026-06-22 01:00:00,26.8,93,32.6,0.0,8.3,1007.5,17.5,20.1
2026-06-22 02:00:00,27.0,92,33.1,0.0,6.8,1007.4,14.6,17.3
2026-06-22 03:00:00,26.7,93,32.7,0.0,7.0,1007.0,12.5,15.4
2026-06-22 04:00:00,26.6,92,32.5,0.0,7.1,1006.7,11.1,14.1
2026-06-22 05:00:00,26.5,93,32.4,0.0,6.9,1006.7,10.7,13.6
2026-06-22 06:00:00,26.4,93,32.2,0.0,7.3,1006.7,11.5,14.3
2026-06-22 07:00:00,27.6,87,33.2,0.0,8.9,1006.6,12.0,15.5
2026-06-22 08:00:00,28.9,77,33.7,0.0,10.3,1006.5,10.7,13.5
2026-06-22 09:00:00,29.7,74,34.5,0.0,11.0,1006.6,12.5,15.8
2026-06-22 10:00:00,30.4,71,35.5,0.0,12.2,1006.6,13.5,17.3
2026-06-22 11:00:00,30.8,70,36.5,0.0,13.4,1006.5,14.8,19.4
2026-06-22 12:00:00,31.2,67,37.5,0.0,13.2,1006.2,16.6,21.9
2026-06-22 13:00:00,31.2,68,37.9,0.0,12.7,1005.3,18.0,23.8
2026-06-22 14:00:00,31.8,65,38.7,0.0,10.4,1004.4,18.5,24.4
2026-06-22 15:00:00,31.7,66,37.9,0.0,11.9,1003.4,18.8,24.8
2026-06-22 16:00:00,31.2,69,36.8,0.0,11.6,1002.7,18.0,23.7
2026-06-22 17:00:00,30.4,73,35.5,0.0,11.5,1002.2,17.3,22.8
2026-06-22 18:00:00,29.5,77,34.5,0.0,11.7,1002.2,17.1,21.9
2026-06-22 19:00:00,28.3,83,33.3,0.0,12.5,1002.8,17.4,21.7
2026-06-22 20:00:00,28.8,84,34.6,0.0,10.2,1003.1,21.0,24.9
2026-06-22 21:00:00,28.2,88,34.2,0.0,9.2,1003.7,22.1,25.3
2026-06-22 22:00:00,28.1,89,34.5,0.0,7.4,1004.0,21.1,24.1
2026-06-22 23:00:00,28.0,89,34.1,0.0,8.7,1003.8,20.0,23.1
2026-06-23 00:00:00,27.8,88,33.5,0.0,9.8,1003.5,17.9,21.1
2026-06-23 01:00:00,27.6,89,33.2,0.0,10.1,1003.0,15.7,19.1
2026-06-23 02:00:00,27.6,90,33.7,0.0,8.4,1002.3,14.0,17.5
2026-06-23 03:00:00,27.3,92,33.3,0.0,8.9,1002.4,12.9,16.4
2026-06-23 04:00:00,27.1,93,33.3,0.0,7.9,1002.5,12.4,15.8
2026-06-23 05:00:00,26.9,95,33.1,0.0,7.5,1002.4,12.5,15.9
2026-06-23 06:00:00,26.9,95,33.1,0.0,7.8,1002.7,13.6,16.8
2026-06-23 07:00:00,28.1,87,34.0,0.0,9.5,1003.2,15.3,18.9
2026-06-23 08:00:00,29.5,80,35.1,0.0,10.0,1003.1,14.6,18.3
2026-06-23 09:00:00,30.4,75,35.9,0.0,10.5,1003.1,15.9,20.1
2026-06-23 10:00:00,31.0,72,36.7,0.1,12.6,1003.1,17.1,22.0
2026-06-23 11:00:00,31.5,69,37.7,0.1,13.2,1003.0,17.6,23.2
2026-06-23 12:00:00,32.0,67,38.3,0.1,15.3,1002.8,19.0,25.1
2026-06-23 13:00:00,31.2,67,36.1,1.0,19.4,1002.6,18.5,24.6
2026-06-23 14:00:00,30.6,72,36.4,0.8,14.4,1002.4,17.8,23.5
2026-06-23 15:00:00,30.7,74,37.0,0.3,11.1,1001.8,18.7,24.6
2026-06-23 16:00:00,30.5,77,36.3,0.7,12.9,1001.2,18.5,24.2
2026-06-23 17:00:00,30.4,77,35.8,0.0,12.4,1000.8,18.0,23.5
2026-06-23 18:00:00,29.9,76,35.3,0.0,10.0,1001.3,18.3,23.5
2026-06-23 19:00:00,28.9,84,35.0,0.0,8.7,1001.5,19.6,24.2
2026-06-23 20:00:00,29.2,85,35.5,0.0,8.9,1002.3,24.6,28.6
2026-06-23 21:00:00,28.6,88,35.0,0.0,8.3,1002.7,25.3,29.1
2026-06-23 22:00:00,28.3,89,34.9,0.0,7.4,1003.1,24.9,28.6
2026-06-23 23:00:00,28.2,90,34.6,0.0,8.3,1003.0,23.9,27.8
2026-06-24 00:00:00,28.0,91,34.5,0.0,8.1,1002.8,22.2,26.2
2026-06-24 01:00:00,27.7,93,34.2,0.0,8.2,1002.3,21.1,25.2
2026-06-24 02:00:00,28.0,92,34.6,0.0,8.0,1001.9,20.7,24.8
2026-06-24 03:00:00,27.5,94,34.2,0.0,7.2,1001.6,20.3,24.3
2026-06-24 04:00:00,27.3,95,34.0,0.0,6.5,1001.3,20.0,24.0
2026-06-24 05:00:00,27.2,95,34.0,0.0,6.4,1001.9,20.8,24.6
2026-06-24 06:00:00,27.2,96,34.0,0.0,6.0,1002.6,23.1,26.8
2026-06-24 07:00:00,28.4,89,34.9,0.1,7.5,1003.1,25.5,30.2
2026-06-24 08:00:00,29.8,80,36.1,0.0,6.2,1003.2,23.7,28.9
2026-06-24 09:00:00,30.6,77,36.9,0.1,7.3,1003.5,23.8,29.1
2026-06-24 10:00:00,31.6,73,38.6,0.0,8.9,1003.6,24.2,30.3
2026-06-24 11:00:00,31.1,69,37.2,0.9,10.4,1003.2,24.9,31.9
2026-06-24 12:00:00,31.5,73,38.7,0.4,11.9,1002.9,24.7,31.9
2026-06-24 13:00:00,31.9,70,38.5,0.3,14.5,1002.0,23.8,31.0
2026-06-24 14:00:00,32.1,69,39.4,0.3,11.6,1001.2,23.5,30.6
2026-06-24 15:00:00,31.8,68,37.9,0.8,13.4,1001.0,24.3,31.5
2026-06-24 16:00:00,31.8,67,37.1,0.0,11.3,1000.3,24.6,31.8
2026-06-24 17:00:00,31.5,68,36.6,0.0,10.1,1000.2,24.9,32.0
2026-06-24 18:00:00,30.9,70,36.3,0.0,8.0,1000.6,26.4,33.3
2026-06-24 19:00:00,29.8,78,36.2,0.0,4.9,1000.9,27.7,33.4
2026-06-24 20:00:00,29.9,83,37.1,0.0,4.3,1001.7,31.4,36.4
2026-06-24 21:00:00,29.2,87,36.2,0.0,7.4,1002.5,30.9,35.5
2026-06-24 22:00:00,28.8,91,36.0,0.0,6.8,1002.8,30.3,34.7
2026-06-24 23:00:00,28.5,92,35.6,0.0,7.2,1003.0,29.0,33.4
2026-06-25 00:00:00,28.2,93,35.1,0.0,7.8,1002.7,26.8,31.2
2026-06-25 01:00:00,28.2,93,35.1,0.0,7.9,1002.3,24.7,29.0
2026-06-25 02:00:00,28.3,95,36.3,0.0,2.5,1002.0,21.9,26.5
2026-06-25 03:00:00,27.4,93,33.5,0.1,9.6,1001.9,20.3,24.9
2026-06-25 04:00:00,26.5,96,32.3,0.3,9.2,1002.3,19.6,24.2
2026-06-25 05:00:00,25.8,98,31.6,0.6,8.5,1001.8,20.1,24.6
2026-06-25 06:00:00,25.8,98,31.8,0.0,7.1,1002.6,22.1,26.7
2026-06-25 07:00:00,26.6,96,33.2,0.0,4.8,1003.1,22.5,27.3
2026-06-25 08:00:00,28.6,89,35.8,0.0,4.7,1003.6,22.8,27.6
2026-06-25 09:00:00,29.0,88,36.2,1.4,4.8,1003.9,23.0,28.2
2026-06-25 10:00:00,30.1,81,37.8,0.0,0.3,1003.8,24.8,30.9
2026-06-25 11:00:00,28.7,85,34.5,2.5,13.2,1004.0,27.0,34.0
2026-06-25 12:00:00,29.8,81,36.7,0.7,6.6,1003.7,28.9,36.7
2026-06-25 13:00:00,30.4,80,37.5,0.0,9.2,1003.0,30.7,39.1
2026-06-25 14:00:00,29.0,85,36.2,0.2,5.7,1002.3,31.2,39.7
2026-06-25 15:00:00,30.6,77,36.7,0.0,8.7,1001.2,29.0,36.9
2026-06-25 16:00:00,31.1,75,37.4,0.0,8.4,1001.0,28.5,35.7
2026-06-25 17:00:00,30.7,77,37.3,0.0,6.6,1001.2,27.9,34.6
2026-06-25 18:00:00,30.5,79,37.1,0.0,7.1,1001.6,28.2,34.2
2026-06-25 19:00:00,29.8,84,37.0,0.0,5.0,1002.1,32.1,36.9
2026-06-25 20:00:00,28.9,88,36.0,0.0,5.3,1003.1,43.3,48.2
2026-06-25 21:00:00,26.1,97,32.2,2.4,7.6,1004.2,52.2,56.3
2026-06-25 22:00:00,25.1,100,31.4,8.1,3.6,1005.1,68.9,72.9
2026-06-25 23:00:00,25.3,98,31.4,2.0,3.9,1004.6,83.6,87.1
2026-06-26 00:00:00,25.4,98,31.8,0.4,2.6,1004.2,72.6,76.4
2026-06-26 01:00:00,25.6,99,32.4,0.1,1.0,1004.0,66.6,70.1
2026-06-26 02:00:00,25.3,97,31.3,0.1,3.7,1003.3,54.4,58.3
2026-06-26 03:00:00,25.3,98,31.3,0.0,4.4,1003.0,47.0,50.6
2026-06-26 04:00:00,25.5,97,31.7,0.0,3.0,1002.7,34.0,37.1
2026-06-26 05:00:00,25.7,97,32.0,0.0,3.1,1002.8,39.3,42.8
2026-06-26 06:00:00,25.9,96,32.2,0.0,2.8,1003.3,46.6,50.2
2026-06-26 07:00:00,26.9,93,33.8,0.0,1.8,1004.1,47.1,51.8
2026-06-26 08:00:00,26.8,95,33.6,0.0,3.1,1003.9,38.9,43.1
2026-06-26 09:00:00,29.1,81,35.2,0.3,6.5,1004.0,35.2,39.6
2026-06-26 10:00:00,30.3,77,37.0,0.1,6.4,1004.3,32.9,37.6
2026-06-26 11:00:00,28.6,84,34.5,1.2,12.0,1004.2,27.1,31.8
2026-06-26 12:00:00,30.1,75,36.5,0.0,6.6,1003.9,22.6,26.3
2026-06-26 13:00:00,31.9,70,39.2,0.0,9.0,1003.4,21.7,25.1
2026-06-26 14:00:00,28.1,88,34.7,2.8,8.5,1003.4,25.3,29.2
2026-06-26 15:00:00,27.9,90,34.3,1.7,7.5,1002.5,23.5,27.7
2026-06-26 16:00:00,28.2,88,34.3,0.2,8.8,1002.4,23.6,27.6
2026-06-26 17:00:00,27.9,88,33.7,0.0,10.3,1002.4,23.7,27.8
2026-06-26 18:00:00,28.1,87,33.9,0.0,8.9,1002.3,28.1,32.5
2026-06-26 19:00:00,28.0,88,34.5,0.0,4.6,1002.8,46.7,50.9
2026-06-26 20:00:00,26.6,97,33.5,0.0,3.0,1003.7,38.8,41.3
2026-06-26 21:00:00,26.5,98,33.5,0.5,3.4,1003.8,51.0,53.4
2026-06-26 22:00:00,26.4,99,33.2,0.4,4.8,1004.3,67.8,70.3
2026-06-26 23:00:00,26.2,99,33.0,0.1,4.0,1004.1,80.1,82.4
2026-06-27 00:00:00,26.2,98,32.8,0.0,3.9,1003.7,80.3,82.9
2026-06-27 01:00:00,26.1,98,32.6,0.0,4.5,1003.5,75.2,77.8
2026-06-27 02:00:00,26.2,99,33.5,0.0,0.2,1002.9,68.2,70.8
2026-06-27 03:00:00,26.0,99,33.1,0.0,1.7,1002.5,62.4,65.0
2026-06-27 04:00:00,25.9,99,32.8,0.0,1.8,1002.5,54.2,57.2
2026-06-27 05:00:00,25.8,98,32.5,0.1,2.4,1002.9,45.3,48.4
